component,value01,units01,value01,units02,text,Description,manufacturer,silkscreen,package,color,shape,dimensions,populated,comments
64K,,,,,,Vertical Isolated Jumper Lead,,,,white,,L11mm,,
C?,100,uF,25,V,“100uF 25V electrolitico SIEMENS 85209 10.84”,,SIEMENS,,,orange,cylindrical,D10mmXH12mm,,Can’t see silkscreen; view obstructed by component
C?,100,uF,25,V,“100uF 25V electrolitico SIEMENS 85209 10.84”,,SIEMENS,,,orange,cylindrical,D10mmXH12mm,,Can’t see silkscreen; view obstructed by component
C?,100,uF,25,V,“100uF 25V electrolitico SIEMENS 85209 10.84”,,SIEMENS,,,orange,cylindrical,D10mmXH12mm,,Can’t see silkscreen; view obstructed by component
C?,100,uF,25,V,“100uF 25V electrolitico SIEMENS 85209 10.84”,,SIEMENS,,,orange,cylindrical,D10mmXH12mm,,Can’t see silkscreen; view obstructed by component
C?,330,uF,25,V,“330uF 25V TOWA CEW”,,TOWA CEW,,,gray,,,,
C?,,,,,unmarked,,,,,brown with orange spot,oblate,D5mm,,Capacitor next to C90. Unreadable silkscreen: under crystal.
C9,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C12,10,uF,16,V,“10 uF 16V TK 85°C SC-9X JAPAN”,,TK,,,dark green/gray,cylindrical,D5mmxH10mm,,
C13,10,uF,16,V,“10 uF 16V TK 85°C SC-9X JAPAN”,,TK,,,dark green/gray,cylindrical,D5mmxH10mm,,
C14,10,uF,16,V,“10 uF 16V TK 85°C SC-9X JAPAN”,,TK,,,dark green/gray,cylindrical,D5mmxH10mm,,
C15,10,uF,16,V,“10 uF 16V TK 85°C SC-9X JAPAN”,,TK,,,dark green/gray,cylindrical,D5mmxH10mm,,
C16,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C22,100,uF,25,V,“100uF 25V electrolitico SIEMENS 85209 10.84”,,SIEMENS,,,orange,cylindrical,D10mmXH12mm,,
C23,10,uF,16,V,“10 uF 16V TK 85°C SC-9X JAPAN”,,TK,,,dark green/gray,cylindrical,D5mmxL10mm,,
C24,,,,,“332 M”,,,,,beige with blue spot,oblate,D7mm,,
C25,,,,,“470 J1”,,,,,brown with pink spot,,,,
C26,,,,,“470 J1”,,,,,brown with pink spot,,,,
C27,,,25,V,“22n2 25V”,,,,,,,,,
C28,,,63,V,“5n6 63V- ICO”,,ICO,,,orange,rectangle,W6mmxH10mm,,
C29,,,,,“104 Z”,,,,,yellow,,,,Under heatsink.
C30,,,,,“104 Z”,,,,,yellow,,,,
C31,,,,,“104 Z”,,,,,yellow,,,,Under heatsink.
C32,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C33,,,,,“104 Z”,,,,,yellow,,,,
C34,,,,,“104 Z”,,,,,yellow,,,,
C35,,,,,“104 Z”,,,,,yellow,,,,
C36,,,,,“104 Z”,,,,,yellow,,,,
C37,,,,,“104 Z2”,,,,,green,oblate,,,
C38,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C39,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C40,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C41,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C42,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C44,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C46,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C48,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C49,,,,,,,,,,,,,no,
C50,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C52,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C53,,,,,,,,,,,,,no,
C54,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C55,,,,,,,,,,,,,no,
C56,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C57,,,,,,,,,,,,,no,
C58,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C59,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C60,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C61,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C62,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C63,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C64,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C65,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C66,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C67,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C68,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C69,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C70,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C71,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C72,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C73,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C74,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C75,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C76,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C77,,,,,“104 Z2”,,,,,green,oblate,D9mm,,
C78,,,,,“472 S1”,,,,,,,,,
C90,,,,,unmarked,,,,,brown with orange spot,oblate,D5mm,,
C92,,,,,,,,,,,,,,No capacitor; vias jumped with soldered lead
C93,,,,,“047”,,,,,orange/gray striped,rectangular oblate,W5mmxH7mm,,
CJ,8,pins,,,,Circular Receptacle; Female Socket; 8 Positions; Through Hole; Right Angle;  DIN (270 Degree),DIN-8,,,black/white,,,,
CN3,4,pins,,,,4-Pin Keyed Power Connector,,“GND -12V +12V +5V”,,white,,,,
CN4,4,pins,,,,4-Pin Straight connector,,,,,,,no,Sound for internal speaker; maybe?
CN5,9,pins,,,,9-Pin Male Straight Single Row Keyed Connector; Through Hole;,,,,black,,,,
CN6,12,pins,,,,12-Pin Male Straight Single Row Connector; Through Hole;,,,,,,,no,
CN7,12,pins,,,,12-Pin Male Straight Single Row Keyed Connector; Through Hole; Right Angle,,,,black,rectangular prism,,,
CN8,12,pins,,,,12-Pin Male Straight Single Row Keyed Connector; Through Hole; Right Angle,,,,black,rectangular prism,,,
CN9,2,pins,,,,2-Pin Male Straight Single Row Keyed Connector; Through Hole,,,,black,,,,Cartridge detector switch.
CN10,2,pins,,,,2-Pin Male Straight Single Row Keyed Connector; Through Hole,,,,black,,,,PSU shutoff
D7,,,,,unmarked/unreadable,Orange glass diode.,,,,orange,cylindrical,,,
D8,,,,,“1N4148”,Orange glass diode.,,,,orange,cylindrical,,,
D9,,,,,“1N4148”,Orange glass diode.,,,,orange,cylindrical,,,
D10,,,,,unreadable,,,,,black,cylindrical,D2.5mmxL5mm,,
EX1,50,pins,,,,MSX Standard Cartridge Slot,,,,black,,,,
EX3,50,pins,,,,Expansion Port 2x25 Pitch 2.54mm,,,,black,,,,
J1,9,pins,,,,Receptacle; Male Socket; 9 Positions; Through Hole; Right Angle; DB-9,DB-9,,,black,,,,
J2,9,pins,,,,Receptacle; Male Socket; 9 Positions; Through Hole; Right Angle; DB-9,DB-9,,,black,,,,
J3,14,pins,,,,D-Shaped Centronics Receptacle; Through Hole; Right Angle; 14 Positions,,,,blue,complex,,,
JBK,1,pins,,,,1-Pin Female RCA Receptable; Through Hole; Right Angle; Black Colored Plastic,RCA,,,black,,,,Video jack.
JWH,1,pins,,,,1-Pin Female RCA Receptable; Through Hole; Right Angle; White Colored Plastic,RCA,,,white,,,,Audio jack.
K?,,,,,“10.738635 C-09 KONY”,,KONY,“10.73MHZ”,,gray,rectangular prism,L3mmxW11mmxH13mm,,
L01,,,,,“R3R J”,,,,,blue,,,,
L02,,,,,“8R2 J”,,,,,blue,,,,
L03,,,,,“151 J”,,,,,blue,,,,
L04,,,,,,Horizontal Isolated Jumper Lead,,,,white,,L10mm,,
L05,,,,,,Vertical Isolated Jumper Lead,,,,white,,L11mm,,
L06,,,,,,Horizontal Isolated Jumper Lead,,,,white,,L11mm,,
L07,,,,,,Horizontal Isolated Jumper Lead,,,,white,,L10mm,,
L08,,,,,,Horizontal Isolated Jumper Lead,,,,white,,L6mm,,
L09,,,,,,Horizontal Isolated Jumper Lead,,,,white,,L10mm,,
L10,,,,,,Horizontal Isolated Jumper Lead,,,,white,,L12mm,,
